met_id	met_name	met_comp	met_single	met_de
cpd00001[c0]	H2O-c0	1	NA	NA
cpd00001[e0]	H2O-e0	2	NA	NA
cpd00002[c0]	ATP-c0	1	NA	NA
cpd00003[c0]	NAD-c0	1	NA	NA
cpd00003[e0]	NAD-e0	2	NA	NA
cpd00004[c0]	NADH-c0	1	NA	NA
cpd00005[c0]	NADPH-c0	1	NA	NA
cpd00006[c0]	NADP-c0	1	NA	NA
cpd00006[e0]	NADP-e0	2	NA	NA
cpd00007[c0]	O2-c0	1	NA	NA
cpd00007[e0]	O2-e0	2	NA	NA
cpd00008[c0]	ADP-c0	1	NA	NA
cpd00009[c0]	Phosphate-c0	1	NA	NA
cpd00009[e0]	Phosphate-e0	2	NA	NA
cpd00010[c0]	CoA-c0	1	NA	NA
cpd00011[c0]	CO2-c0	1	NA	NA
cpd00011[e0]	CO2-e0	2	NA	NA
cpd00012[c0]	PPi-c0	1	NA	NA
cpd00013[c0]	NH3-c0	1	NA	NA
cpd00013[e0]	NH3-e0	2	NA	NA
cpd00014[c0]	UDP-c0	1	NA	NA
cpd00015[c0]	FAD	1	NA	NA
cpd00016[c0]	Pyridoxal phosphate	1	NA	NA
cpd00017[c0]	S-Adenosyl-L-methionine	1	NA	NA
cpd00018[c0]	AMP-c0	1	NA	NA
cpd00019[c0]	S-Adenosyl-homocysteine-c0	1	NA	NA
cpd00020[c0]	Pyruvate-c0	1	NA	NA
cpd00022[c0]	Acetyl-CoA-c0	1	NA	NA
cpd00023[c0]	L-Glutamate-c0	1	NA	NA
cpd00023[e0]	L-Glutamate-e0	2	NA	NA
cpd00024[c0]	2-Oxoglutarate-c0	1	NA	NA
cpd00025[c0]	H2O2-c0	1	NA	NA
cpd00025[e0]	H2O2-e0	2	NA	NA
cpd00026[c0]	UDP-glucose-c0	1	NA	NA
cpd00027[c0]	D-Glucose-c0	1	NA	NA
cpd00027[e0]	D-Glucose-e0	2	NA	NA
cpd00028[c0]	Heme	1	NA	NA
cpd00028[e0]	Heme-e0	2	NA	NA
cpd00029[c0]	Acetate-c0	1	NA	NA
cpd00029[e0]	Acetate-e0	2	NA	NA
cpd00030[c0]	Mn2+-c0	1	NA	NA
cpd00030[e0]	Mn2+-e0	2	NA	NA
cpd00031[c0]	GDP-c0	1	NA	NA
cpd00032[c0]	Oxaloacetate-c0	1	NA	NA
cpd00033[c0]	Glycine-c0	1	NA	NA
cpd00033[e0]	Glycine-e0	2	NA	NA
cpd00034[c0]	Zn2+-c0	1	NA	NA
cpd00034[e0]	Zn2+-e0	2	NA	NA
cpd00035[c0]	L-Alanine-c0	1	NA	NA
cpd00035[e0]	L-Alanine-e0	2	NA	NA
cpd00036[c0]	Succinate-c0	1	NA	NA
cpd00036[e0]	Succinate-e0	2	NA	NA
cpd00037[c0]	UDP-N-acetylglucosamine-c0	1	NA	NA
cpd00038[c0]	GTP	1	NA	NA
cpd00039[c0]	L-Lysine-c0	1	NA	NA
cpd00039[e0]	L-Lysine-e0	2	NA	NA
cpd00040[c0]	Glyoxalate-c0	1	NA	NA
cpd00041[c0]	L-Aspartate-c0	1	NA	NA
cpd00041[e0]	L-Aspartate-e0	2	NA	NA
cpd00042[c0]	GSH	1	NA	NA
cpd00045[c0]	Adenosine 3-5-bisphosphate-c0	1	NA	NA
cpd00046[c0]	CMP-c0	1	NA	NA
cpd00047[c0]	Formate-c0	1	NA	NA
cpd00048[c0]	Sulfate	1	NA	NA
cpd00048[e0]	Sulfate	2	NA	NA
cpd00050[c0]	FMN-c0	1	NA	NA
cpd00051[c0]	L-Arginine-c0	1	NA	NA
cpd00051[e0]	L-Arginine-e0	2	NA	NA
cpd00052[c0]	CTP	1	NA	NA
cpd00053[c0]	L-Glutamine-c0	1	NA	NA
cpd00053[e0]	L-Glutamine-e0	2	NA	NA
cpd00054[c0]	L-Serine-c0	1	NA	NA
cpd00054[e0]	L-Serine-e0	2	NA	NA
cpd00055[c0]	Formaldehyde-c0	1	NA	NA
cpd00055[e0]	Formaldehyde-e0	2	NA	NA
cpd00056[c0]	TPP-c0	1	NA	NA
cpd00058[c0]	Cu2+-c0	1	NA	NA
cpd00058[e0]	Cu2+-e0	2	NA	NA
cpd00060[c0]	L-Methionine-c0	1	NA	NA
cpd00060[e0]	L-Methionine-e0	2	NA	NA
cpd00061[c0]	Phosphoenolpyruvate-c0	1	NA	NA
cpd00062[c0]	UTP	1	NA	NA
cpd00063[c0]	Ca2+	1	NA	NA
cpd00063[e0]	Ca2+	2	NA	NA
cpd00064[c0]	Ornithine-c0	1	NA	NA
cpd00064[e0]	Ornithine-e0	2	NA	NA
cpd00065[c0]	L-Tryptophan-c0	1	NA	NA
cpd00066[c0]	L-Phenylalanine	1	NA	NA
cpd00067[c0]	H+-c0	1	NA	NA
cpd00067[e0]	H+-e0	2	NA	NA
cpd00069[c0]	L-Tyrosine	1	NA	NA
cpd00070[c0]	Malonyl-CoA-c0	1	NA	NA
cpd00071[c0]	Acetaldehyde-c0	1	NA	NA
cpd00071[e0]	Acetaldehyde-e0	2	NA	NA
cpd00072[c0]	D-fructose-6-phosphate-c0	1	NA	NA
cpd00073[c0]	Urea-c0	1	NA	NA
cpd00073[e0]	Urea-e0	2	NA	NA
cpd00075[c0]	Nitrite-c0	1	NA	NA
cpd00075[e0]	Nitrite-e0	2	NA	NA
cpd00076[c0]	Sucrose-c0	1	NA	NA
cpd00078[c0]	Succinyl-CoA-c0	1	NA	NA
cpd00079[c0]	D-glucose-6-phosphate-c0	1	NA	NA
cpd00080[c0]	Glycerol-3-phosphate-c0	1	NA	NA
cpd00081[c0]	Sulfite-c0	1	NA	NA
cpd00082[c0]	D-Fructose-c0	1	NA	NA
